Date,Day,pH(CT),TDS(CT),TSS(CT),O&G(CT),COD(CT),BOD(CT),pH(BET),TDS(BET),TSS(BET),O&G(BET),COD(BET),Inlet_quality(BET),,pH(F),TDS(F),TSS(F),O&G(F),COD(F),BOD(F),"OutletQuantitywithoutBWBD&ROReject(F)
(KLD)","Outlet Quantity Total
(KLD)",Sludge disposal quantity
43739,SUN,7.13,1312,1780,15.8,2560,148.8,8.35,2156,348,1.8,2600,210,,7.8,1680,42,BDL,48,12,280,280,0
43740,MON,7.45,1614,1846,16.2,2280,,8.4,2085,387,2.2,2440,0,,7.9,1754,28,BDL,32,,199,199,0
43741,TUE,7.22,1519,1815,18.6,2200,150.4,8.33,1907,476,2,2200,209,,7.97,1907,36,BDL,56,16,142,191,0
43742,WED,7.54,1281,1745,17,2320,153.6,10,1788,192,1.8,2140,162,,7.81,1814,29,BDL,48,18,182,183,0
43743,THU,7.2,1345,1315,13.8,1420,,9.84,1842,160,1.6,2220,148,,7.89,1872,60,BDL,56,,149,149,0
43744,FRI,11.5,1326,7200,,,,9.4,1840,182,,,240,,7.7,1824,55,BDL,,,115,115,0
43745,SAT,8.34,1375,6496,24,2280,316,11.84,3880,34,1.6,2740,240,,7.98,1584,26,BDL,40,13.33,135,237,0
43746,SUN,7.68,1255,4462,28,4720,256,11.54,2030,160,2.4,2100,242,,7.96,1614,48,BDL,32,16,196,248,0
43747,MON,7.51,1430,4484,24,3680,,11.8,3340,291,2.2,2760,162,,7.97,1285,35,BDL,40,,208,270,0
43748,TUE,7.43,1165,3337,22,3240,326.4,7.37,2000,443,2.6,3020,137,,7.83,1464,44,BDL,32,16,198,198,0
43749,WED,7.31,1165,3080,26,3520,393.6,12.13,6000,93,2.2,2240,126,,7.86,1464,28,BDL,40,13.13,197,197,0
43750,THU,7.34,1285,3077,22,3480,355.2,11.95,3190,40,1.8,2320,120,,8,1554,22,BDL,56,16,168,180,0
43751,FRI,7.3,1263,4028,24,3270,,12.2,3185,78,2.2,2660,23,,7.97,1547,27,BDL,52,,69,69,0
43752,SAT,7,1225,2760,20,2300,380.8,10.34,1733,26,BDL,2240,169,,7.91,1584,45,BDL,32,13.71,82,126,0
43753,SUN,7.19,1195,3195,18,2520,361.6,10.51,1721,24,BDL,2180,270,,7.91,1554,15,BDL,40,16,162,229,0
43754,MON,7,1135,3359,24,2520,357,10.35,1695,21,BDL,1940,310,,7.96,1494,16,BDL,48,15,247,289,0
43755,TUE,7.25,1135,3180,24,2740,272,10.96,1255,27,1.4,2780,334,,7.93,956,19,BDL,32,16,272,378,0
43756,WED,7.51,1106,2132,28.33,3240,294.4,11.46,1076,48,6.66,3880,474,,7.98,1494,22,BDL,64,10.66,296,402,0
43757,THU,7.39,1046,2140,26.66,2840,244,11.96,3520,128,5,3080,0,,8,1285,30,BDL,72,8,0,0,0
43758,FRI,7.3,1120,2280,,,,11.8,3312,228,,,345,,7.9,1152,29,BDL,48,,288,333,0
43759,SAT,7.82,1315,1918,30,3480,316.8,11.86,3850,219,5.8,3540,178,,7.98,717,26,BDL,64,10.66,217,322,0
43760,SUN,7.46,1285,2497,26,3600,256,9.59,1973,159,6,3360,281,,7.96,956,23,BDL,72,13.33,405,450,0
43761,MON,7.32,1225,2060,28,5200,,9.56,1494,310,6.6,3600,263,,7.95,1345,31,BDL,80,,268,361,0
43762,TUE,7,1046,2291,25,4680,342.4,9.7,1524,153,5.3,3380,149,,7.93,1733,34,BDL,64,9.6,305,305,0
43763,WED,7.31,1046,2112,28.33,3240,377.6,7,1674,196,2.5,3120,70,,7.9,717,30,BDL,72,12.8,196,270,0
43764,THU,7.32,986,2120,30,3480,476,6.45,1434,348,5.16,3740,101,,7.95,1494,41,BDL,80,12,162,162,0
43765,FRI,7.34,985,2120,34,3485,479,6.47,1434,347,5.17,3747,122,,7.98,1490,40,BDL,84,15,312,312,0
43766,SAT,7.36,987,2120,32,3483,474,6.48,1434,349,5.18,3743,112,,7.95,1491,39,BDL,83,13,327,327,0
43767,SUN,7.25,983,2120,94,3481,476,6.48,1434,347,5.15,3741,102,,7.96,1493,32,BDL,82,14,263,263,0
43768,MON,7,837,2114,94,4080,473,8.5,1135,406,7.16,4100,290,,7.97,1464,43,BDL,72,15,267,305,
43769,TUE,,866,2297,156.6,6760,,11.3,2540,111,8.33,56,253,,7.86,1135,23,BDL,88,,329,409,
